"Step","iddpg_painting_gnn__d63fec5f_24_09_14-20_17_59 - eval/reward/episode_len_mean","iddpg_painting_gnn__d63fec5f_24_09_14-20_17_59 - eval/reward/episode_len_mean__MIN","iddpg_painting_gnn__d63fec5f_24_09_14-20_17_59 - eval/reward/episode_len_mean__MAX"
"1909","120.1","120.1","120.1"
"1919","93.7","93.7","93.7"
"1929","93.8","93.8","93.8"
"1939","138","138","138"
"1949","104.2","104.2","104.2"
"1959","98.3","98.3","98.3"
"1969","103.3","103.3","103.3"
"1979","96.8","96.8","96.8"
"1989","119.2","119.2","119.2"
"1999","143.5","143.5","143.5"
