"Step","iddpg_painting_gnn__d9dd92fe_24_09_14-20_17_55 - eval/reward/episode_len_mean","iddpg_painting_gnn__d9dd92fe_24_09_14-20_17_55 - eval/reward/episode_len_mean__MIN","iddpg_painting_gnn__d9dd92fe_24_09_14-20_17_55 - eval/reward/episode_len_mean__MAX"
"1899","100.5","100.5","100.5"
"1909","111.5","111.5","111.5"
"1919","109.6","109.6","109.6"
"1929","61.2","61.2","61.2"
"1939","96.3","96.3","96.3"
"1949","121.2","121.2","121.2"
"1959","71.2","71.2","71.2"
"1969","92.9","92.9","92.9"
"1979","120","120","120"
"1989","123.8","123.8","123.8"
"1999","135.6","135.6","135.6"
